お名前(HN可),所属陣営,銘柄コード,年末時点で2倍になりそうな銘柄は？
くろすけ,湘南投資勉強会,4204,積水化学　ペロブスカイト太陽電池の量産化に向けて動き出し。なんらかのモメンタムが付いて去年のフジクラみたいになることを期待。
TAKAS,湘南投資勉強会,4204,積水化学　ペロブスカイト銘柄(伊勢化学は上げてしまってるので、こちらで)
にき,特に所属なし,4204,積水化学工業 　時価総額が大きいが国策銘柄のため
ににもも,湘南投資勉強会,4204,積水化学工業 ペロブスカイト太陽電池は既にテーマになっているが、今年も一度テーマ化したら強いのではないかと考えた。
まる,湘南投資勉強会,4204,積水化学工業　ペロブスカイト太陽電池実用化期待
だいふく,湘南投資勉強会,4204,積水化学工業 ペロブスカイト型太陽電池
AK,神戸投資勉強会,4229,群栄化学　どこかがTOBする（東京応化工業とか？）
くま,湘南投資勉強会,4251,恵和　PC向け好調。PC系全般に上げる中で一緒に上がるのを期待
くろせ,湘南投資勉強会,4255,THECOO 色々アレな銘柄だけど利益は改善してきてるのでワンチャン枠
Nori. H,湘南投資勉強会,4258,網屋
もっぴー,湘南投資勉強会,4258,網屋
野松　隆博,湘南投資勉強会,4258,網屋　A-logのサブスク版の収益化　25年末から既存の売り切り版のA-lognoサブスク版への切替が始まる。
☆にゃー☆,湘南投資勉強会,4258,網屋、業績安定なおかつ好調
masa,湘南投資勉強会,4258,網屋：本年は年末年初からJALやトヨタがサイバー攻撃にあい、今年はサイバー攻撃が増え、データセキュリティ需要増の環境下で、網屋はフロービジネスからストックビジネスに変更したため。
円蔵,湘南投資勉強会,4258,網屋　主力のログ管理製品「ＡＬｏｇ」が、売り切りから、月額課金に全面移行。また、円安が続く中、高価格の海外競合品からの乗り換えも進んでいる。また海外展開も準備。
KM,神戸投資勉強会,4259,エクサウィザーズ  黒字化　生成AIプロダクトの成長
アクティブばなな。,湘南投資勉強会,4259,エクサウィザーズ　企業のchatGPTは今後も導入加速する
X,神戸投資勉強会,4259,エクサウィザーズ 生成AI導入本格化が最も貢献する企業
でこぽん,神戸投資勉強会,4261,アジアクエスト 業績上向き PER13は安い
ぽちた,湘南投資勉強会,4261,アジアクエスト 成長性の割に安い
AK,神戸投資勉強会,4261,アジアクエスト　業務削減のソリューションがテーマになり、業績改善、PER拡大で２倍に。現預金が多くあり、どこかにくっつく（買収される）ことも期待。
au3（ナカ）,湘南投資勉強会,4262,ニフティライフスタイル 個人投資家認知拡大。還元強化。
天パの電波ちゃん,神戸投資勉強会,4264,セキュア
Lily,秋からIR説明会にどちらの勉強会でも参加させて頂いています。,4264,セキュア　「AI・画像認識・顔認証ｘセキュリティ」
さすけ,湘南投資勉強会,4264,セキュア　カメラが世の中を支配
ゆかちん,はじめてです,4264,セキュア 物騒な事件が多い中セキュリティや防犯は今後も伸びる
kenmo@湘南投資勉強会,湘南投資勉強会,4270,BeeX 上場から3年目。テーマ株(SAP 2027年問題)。2025年2月期通期は小幅増益で予想を据え置くも上振れ余地あり。タックスロスセリングで株価位置も低く2倍株妙味あり。市場環境は良好。SAPシステムのクラウド化への移行需要の本格化も追い風。
写楽保介,湘南投資勉強会,4270,BeeX 増収増益、ストック要素のあるサービスも堅調。25.2期の上方修正を期待。でも配当を出さないとたぶん評価されないので、2倍は夢か。。
やっしー,神戸投資勉強会,4286,ＣＬホールディングス
前田嘉一,神戸投資勉強会,4308,"Ｊストリーム
ネットによる動画ライブ中継やオンデマンド放送の配信インフラ提供。映像制作等も手がける。社会全体がネットへのシフト化を期待。PBR１割れで高配当。売られ過ぎでやや割安。逆張りで２倍を狙う。"
めろんぱん,湘南投資勉強会,4331,テイクアンドギブニーズ 業績改善＆株主還元
ウィン,湘南投資勉強会,4344,ソースネクスト　ポケトークの上場が予定されているため
Yokabun,湘南投資勉強会,4344,ソースネクスト　ポケトーク上場
hiro,湘南投資勉強会,4345,シーティーエス　中小建築現場のDXニーズ
羽根,神戸投資勉強会,4347,ブロードメディア　NAVFが何かするような‥
次男坊,神戸投資勉強会,4369,トリケミカル研究所 先端半導体の需要が活況なのにも関わらず、株価低迷中なのでそろそろ反発期待。次世代の製造技術（極低温エッチング）の素材も製造。
さざなみ,湘南投資勉強会,4371,CCT   下がりすぎ、単純にリバ期待
うわん,神戸投資勉強会,4371,CCT ミスミのmeviyを作れる会社がこの評価って…。あと一年で純資産５０億達成でプライム行き見込み、ファンドの買い需要発生。一応、２月の決算発表を見てから入りたい。
けん,湘南投資勉強会,4371,CCT 売られすぎており企業も株価低迷を懸念している様子。もはや投げ売り状態
ブライ,神戸投資勉強会,4371,ＣＣＴ 反転期待
ヒロシ,湘南投資勉強会,4371,コアコンセプト・テクノロジー 成長鈍化で売られているが、成長軌道に戻れば25.12期EPS100円のPER20倍で2000円ぐらいはありそう
あちし,湘南投資勉強会,4371,コアコンセプトテクノロジー さすがに安いと思い
masa,湘南投資勉強会,4374,ロボットペイメント：ストックビジネスで2026年3月期の営業利益12億円の達成確度が高いのと、それを折り込むことがあると、グロースに資金が入らなくても、株価UPのため。
opopo,湘南投資勉強会,4374,ロボペイ 中計上方修正期待
ぬる,湘南投資勉強会,4374,堅調に売り上げが伸びており、利益率が順調に回復し、今後もまだ成長が続くと予想されるため。
JAMMY,湘南投資勉強会,4374,ロボペイ：中計達成確率の高まりとPERの評価見直しで。
keiko,湘南投資勉強会,4375,セーフィー　サブスク型の録画サービスで防犯や監視カメラ、生産性の向上などさらに需要が伸びそう。創業以来の黒字化目前で中計で予定していた26年黒字化を前倒しで達成の可能性。
ポポ,湘南投資勉強会,4375,セーフィー 赤字縮小傾向なので2025/12期に黒転期待しています
シバマサ,湘南投資勉強会,4375,セーフィー　来期黒字化期待　業界からの評判良い　防犯・法改正等材料
本屋,湘南投資勉強会,4377,ワンキャリア 26年12月期で売上100億利益30億(eps300超え)で現実味が出てくる後半戦に株価10000行く！
くま,湘南投資勉強会,4379,Photosynth ビルマネジメントの方も成果出てきそう
saku,湘南投資勉強会,4379,フォトシンス　黒転とビットキーがIPOしてくると相対比較で割安感でるかも149A
伊豆太郎,湘南投資勉強会,4384,ラクスル M&Aあればワンチャンありそう。
めがね,神戸投資勉強会,4385,メルカリ　アメリカ事業撤退決まれば
りんご,湘南投資勉強会,4385,メルカリ 上場来安値圏まで下げており、抜本的な経営改革が発表されれば需給面も相まって大幅に上昇。
ダンベルドア,湘南投資勉強会,4385,メルカリ　年初の株価位置と海外事業が伸びれば
you,湘南投資勉強会,4386,"SIG
中間業績予想修正済みだが、懸念点はあるため通期は未修正。公共案件は非開示多いが受注は安定してるとの記述。
利益率を上げようフェーズに入ったばかりなので利益率向上大好き個人投資家の買い誘発？"
かいとん,湘南投資勉強会,4396,システムサポート サービスナウの日本投資強化の恩恵をダイレクトに受ける。またクラウドのストック収益も積み上がっており、DC運営というテーマで注目されないかと期待
おのこ,所属なし,4398,ブロードバンドセキュリティー　2024年成長元年とし、これからに期待
こいけ,湘南投資勉強会,4404,ミヨシ油脂 不動産売却益による特別配当
K,神戸投資勉強会,4404,ミヨシ油脂 本社売却特益で来期PER1.0倍。大幅還元期待。
近藤,湘南投資勉強会,4404,"ミヨシ油脂
本業が回復傾向でただでさえ割安なところに、時価総額に匹敵するくらいの不動産売却益が来期計上予定だから。"
AK,神戸投資勉強会,4412,サイエンスアーツ　楽天との提携が上手くいき、営業力がアップ。成長角度が付き２倍に。
しも,湘南投資勉強会,4414,フレクト　そこそこ好業績なのにダメなところ多いから改善すれば上がる
AK,神戸投資勉強会,4414,フレクト　業務削減のソリューションがテーマになり、業績改善、PER拡大で２倍に。
Lily,秋からIR説明会にどちらの勉強会でも参加させて頂いています。,4416,True Data 東京海上スマートモビリティとの業務提携、ウェルシアがAI販促ソリューション導入、伊藤忠商事との資本業務提携
momo,湘南投資勉強会,4416,truedata 大口業務提携が業績に寄与
おのこ,所属なし,4417,グローバルセキュリティエキスパート　IT企業・SIerへの教育需要が加速
秋吉義明,湘南投資勉強会,4418,JDSC AI関連の思惑及び見直し買い
Nori. H,湘南投資勉強会,4419,フィナＨＤ
ぬる,湘南投資勉強会,4419,売り上げが順調に伸びており、まだこのまま成長が見込めると想定されるが、その場合の来年の利益に対して割安と考えられるため。
バンプ,神戸投資勉強会,4419,REBASE。堅実な黒字経営での業績拡大が魅力
いなじぃ,無所属,4420,イーソル　組み込みソフトウェア事業好調。テスラのような方式の自動車が増加すれば恩恵あるかも
めろんぱん,湘南投資勉強会,4431,スマレジ モメンタムで2倍
タカ@takanovalue,湘南投資勉強会,4433,人コミュニケーションズ 大阪万博による派遣社員の特需期待
MT,神戸投資勉強会,4434,サイバーワークス
ISO,湘南投資勉強会,4435,カオナビ　ARR 時価総額 本決算で配当予想
roku,湘南投資勉強会,4436,みんかぶ　株探値上げ
くま,湘南投資勉強会,4436,ミンカブ・ジ・インフォノイド　割安になっており、四季報予想数字行くなら2倍は取れそう
なのなの,湘南投資勉強会,4436,ミンカブ・ジ・インフォノイド　信頼度は高くないが、2026年3月期は大幅増益を見込む。大株主のSBI、QUICK、日本経済新聞社どれもが欲しがりそうなビジネスモデル
めろんぱん,湘南投資勉強会,4439,東名 営業力すごい
りょう,湘南投資勉強会,4440,ヴィッツ
やまにゃん,湘南投資勉強会,4442,バルテス　同業のSHIFTが業績の踊り場をこえ再成長、株価も堅調。こちらも期待。
oct,湘南投資勉強会,4443,Sansan 売り上げ成長続いており見直されるタイミング近いのでは？
お蝶,湘南投資勉強会,4448,kubell 黒字化の局面
ゆかちん,はじめてです,4448,クベル  値上げによる解約も少なく手堅い。黒字転換し今後の業績に期待。
マー,湘南投資勉強会,4449,ギフティ
しも,湘南投資勉強会,4449,ギフティ　初配当からの成長による連続増配
とらほう,神戸投資勉強会,4449,ギフティ 利益本格化フェイズに。初配→累進配当のシグナリング
豚さがり,湘南投資勉強会,4449,ギフティー　【四季報】Eギフト顧客拡大で大幅増　【事象】Eギフトが懸賞として利用される機会が増加
えむじぇい,湘南投資勉強会,4461,第一工業製薬 高性能サーバー向け硬化樹脂が増勢。2025年度までに1.5倍～2倍の増産体制。モメンタム継続期待。
めろんぱん,湘南投資勉強会,4475,HENNGE モメンタムで2倍
HAL,神戸投資勉強会,4477,ＢＡＳＥ 今季黒字転換、大幅増益が期待できる
X,神戸投資勉強会,4477,BASE 赤字から黒字に転換し機関投資家の評価が変わる
メイプル,湘南投資勉強会,4477,BASE：黒字化
さふらん,湘南投資勉強会,4478,フリー　そろそろ底値から切り返す？　26年6月期は黒字予想（四季報）。
めがね,神戸投資勉強会,4480,メドレー　高い成長性が持続
まつ,湘南投資勉強会,4481,ベース 2023年の高値から半分になっているが、今期も増収増益増配で高値奪還予想。
しも,湘南投資勉強会,4481,"ベース　27年問題　SAPの切り替えの特需
業績底入れ"
かまやき,神戸投資勉強会,4483,JMDC  医療費適正化政策への転換の第一歩。
MT,神戸投資勉強会,4493,サイバーSクラウド
いち,湘南投資勉強会,4495,i3　CLOMO事業拡大。MA乗る来期数字が上振れすれば狙える可能性もあるか。
かもめ,湘南投資勉強会,4495,アイキューブドシステムズ。エムスリーと同視点。
ごんきち,湘南投資勉強会,4496,コマースワン VR関連が評価される。VUZIからの流れ。米VRChatと提携など。
oct,湘南投資勉強会,4499,Speee ブロックチェーンデジタルプラットフォーム事業への期待
yume,湘南投資勉強会,4499,Speee 材料がでれば。
とこいえ,湘南投資勉強会,4506,住友ファーマ  3(2)期赤字、来期は黒字浮上。コスト削減効果。225。
りんご,湘南投資勉強会,4506,住友ファーマ 投資ファンドによる買収
スーパーこさく,神戸投資勉強会,4512,わかもと製薬　出荷停止中のエース「マキュエイド」復活
K,神戸投資勉強会,4523,エーザイ 抗認知症治療薬レカネマブの欧州承認。皮下注射製剤の承認や米国での認知向上により販売拡大する。レンビマの特許係争が決着して独占販売期間の不透明性が無くなる。
コブダイバー,神戸投資勉強会,4538,"扶桑薬品工業 
① 製剤増産及び不採算品再算定等の影響によって輸液全体の不採算が緩和され売上原価率が改善し利潤を得やすい環境になっている。
② 2027年3月に創立90周年に向けて累進配当を目標。
③ 「資本コストや株価を意識した経営の実現に向けた対応」において、開示状況が検討中になっている、残り少ないPBR1倍割れのプライム銘柄。PBR1倍割れ解消を期待したい。"
柊,湘南投資勉強会,4538,扶桑薬品工業 GE医薬品業界再編
柊,湘南投資勉強会,4554,富士製薬工業 GE医薬品業界再編
ゆー,特になし,4559,ゼリア新薬 欧州でディフィクリアの売れ行きが好調。ガイドラインの第一選択に載っており、引き続き好調な売行きが予想される。現時点で割安と考えている。
ten,所属がわかりません。,4583,カイオム・バイオS
ダンベルドア,湘南投資勉強会,4588,オンコリスバイオ
日本酒軽,湘南投資勉強会,4592,サンバイオ　この前の悪い決算は必要な経費増、買い時
ロニー,湘南投資勉強会,4657,環境管理センター 水のPFAS検査需要が増加する。
えびす,湘南投資勉強会,4657,環境管理センター、水道のPFAS管理の基準化
ごはん,湘南投資勉強会,4661,オリエンタルランド  ずいぶん下がったので元に戻れば
まる,湘南投資勉強会,4661,オリエンタルランド　人気があるからそのうちリバウンドするのではないか
いち,湘南投資勉強会,4666,パーク２４　カーシェア1強では。将来の事業展開考えると夢がある。
オニール好きの投資家,湘南投資勉強会,4666,パーク24 カーシェア最大手、自動運転関連銘柄としても期待
emi,湘南投資勉強会,4680,ラウンドワン
ぽけもん２,湘南投資勉強会,4680,ラウンドワン　アメリカでの新店舗立ち上げが成功、５００店舗予定、アメリカ家庭の子供の誕生会のﾊﾟｰﾃｨルームによいとのこと。また、誕生会では親は１０万以上の予算を立てる家庭が多く、評判がよい。新店舗で売上増が見込められる。
ごんきち,湘南投資勉強会,4680,ラウンドワン 米国事業（ラウンドワンデリシャスも）が評価される。個人的にはバリュエーションが高いので買い増しはしませんがBtoCは人気化すれば高バリュエーションも許容されているイメージがあるのでワンチャンあるかも程度で。
ラッキー,神戸投資勉強会,4680,"ラウンドワン
アメリカでの事業が好調。クレーンゲームの流行りが継続している。"
蝦名美穂子,くまのもり,4680,ラウンドワン温暖化が顕著なため
たぐけん,湘南投資勉強会,4686,"ジャストシステム　
スマイルゼミ4月から小学生講座18％値上げ、反映は4−6月から1Q業績変化率大きい。"
au3（ナカ）,湘南投資勉強会,4686,ジャストシステム スマイルゼミの値上げで今年の増収減益から来期は増収増益へ。
ちょる子,湘南投資勉強会,4691,ワシントンホテル　インバウンドと、拡大性から
カンジ,湘南投資勉強会,4691,ワシントンホテル　中国からの観光客ビザ緩和
ロカ,湘南投資勉強会,4692,FFRIセキュリティ 今年もサイバー攻撃が増えて高成長が続く。増配期待。
Tommy,湘南投資勉強会,4722,フューチャー 中堅企業でコロナ後の企業のシステム見直しが増加傾向
ヒロユキ,初参加,4751,サイバーエージェント ABEMA黒字化。ゲーム事業も回復。
ほくと,神戸投資勉強会,4751,サイバーエージェント　AIを用いた広告の深化・ABEMAの黒字化へ
nazuna,湘南投資勉強会,4751,サイバーエージェント ちいかわポケット大流行
あいまる,湘南投資勉強会,4751,サイバーエージェント ちいぽけ（ちいかわぽけっと）に期待
横浜ジロー,湘南投資勉強会,4751,サイバーエージェント　懸案だったAbema単体での黒字化。周辺ビジネスも育ってきている。為替の影響も受けない。SONYのカドカワ買いのようにコンテンツが注目されている。最高値から半値まで落ちているため、2025年から復活があり得ると思っています。
こいけ,湘南投資勉強会,4755,楽天 モバイル黒字化
べいべー,湘南投資勉強会,4755,楽天グループ　モバイルが順調に伸びれば経済圏としては最強。KDDIよりも企業価値は高い。
ひろやん,無所属（一度、湘南投資勉強会に参加）,4755,楽天グループ 携帯事業の赤字縮小が加速。
めがね,神戸投資勉強会,4755,楽天グループ　携帯武門の黒字継続
ヒロユキ,初参加,4755,楽天グループ 四半期営利黒字化。単純に続伸して評価されると考える。
yss,湘南投資勉強会,4755,楽天グループ　モバイル事業など株主優待拡充により好調なため。
たぬ吉,湘南投資勉強会,4755,楽天　4755　来期以降ようやく黒字転換予想
天パの電波ちゃん,神戸投資勉強会,4772,ストリームメディア
奥中 悠二朗,湘南投資勉強会,4776,サイボウズ 利益が拡大するフェーズに入ったから。株主の方を少しずつ向き始めている気もする。
与野,湘南投資勉強会,4783,ＮＣＤ　システム・パーキングともに価格改定もあり好調
あべんどT,湘南投資勉強会,4784,ＧＭＯインターネット GPUクラウドなどインターネット基盤事業伸びる
たぐけん,湘南投資勉強会,4811,"ドリーム・アーツ　
SmartDBの導入が大企業で進み、解約率がとても低いため売上と利益が積み上がっていく。
最終的に営業利益率は30％以上を目指せるとのこと。
2025年も本決算は保守的な予想となる可能性があるため、本決算後に購入し、上方修正を待つ戦略が良いかもしれない。"
アディ,湘南投資勉強会,4811,ドリーム・アーツ　サイボウズみたいなSaaSシステムを大企業向けに開発・販売している会社。売上増は社数増加＆社内横展開＆価格改定期待で盛り上がっていくと思われる。対外的には価格がどうなってるのかは見えない。おそらくは企業のアカウント数での割引含めた相対での料金設計になってるだろう＆権限によってのプランも複数あるのでわかりにくいと思われる。しかし、究極的な思想である「Sierにこれまで任せてたけど自分たちでもっと良い物が作れた！」というSIレスという構想は夢がある。売上増によって固定費はここから大きくは増えないので利益大幅増に期待する
ふくろう,湘南投資勉強会,4811,ドリームアーツ SmartDBが安定的に成長する。EPS成長×PER上昇で2倍化。
saita44,湘南投資勉強会,4811,ドリーム・アーツ、主力製品の継続率が高く今後のストック収益の上昇が期待できる
AK,神戸投資勉強会,4811,ドリームアーツ　業務削減のソリューションがテーマになり、業績改善、PER拡大で２倍に。
M,湘南投資勉強会,4813,ＡＣＣＥＳＳ  防災関連　黒字化
オニール好きの投資家,湘南投資勉強会,4813,ACCESS 米国不正会計からの下落もNTT関連リバウンド期待
お蝶,湘南投資勉強会,4816,東映アニメ ドラゴンボールテーマパーク
にこいち,四季報investors,4816,東映アニメーション（4816）　アニメキャラクターの版権収入に期待。
Yokabun,湘南投資勉強会,4825,ウェザーニューズ　100年に一度の天災が頻発。航路案内サービスにも期待。
FN,神戸投資勉強会,4880,セルソース　　新事業
ダンベルドア,湘南投資勉強会,4881,ファンペップ
キユーピー,湘南投資勉強会,4894,"クオリプス
ips細胞由来の心筋シートの承認申請が遅れているが、2025年に商品化を目指しており、承認されポジティブニュースが出れば2倍になりそう。"
やさあた,神戸投資勉強会,4918,"アイビー化粧品	高行使価格SO行使のための株高期待"
さふらん,湘南投資勉強会,4931,新日本製薬　メンズコスメ参入
秋吉義明,湘南投資勉強会,4932,アルマード 新製品売上及び海外展開
けん,湘南投資勉強会,4933,I-ne M&A恩恵、ヘアケアのYOLUが若年層の受け良く、MTGのような展開を期待。
にからご,湘南投資勉強会,4933,I-NE ヒット商品が再び出れば上がりそう。
you,湘南投資勉強会,4933,"ine
25年貧乏銘柄。お財布が苦しくても満足度高い推し活の一種に化粧品。
中国展開を捨てる潔さ。来期m&aしたトゥベール連結開始。"
とっしー,湘南投資勉強会,4934,プレミアアンチエイジング　リカバリーウェアCM展開
まろまろ,湘南投資勉強会,4970,"東洋合成工業　4970
足元は設備投資が重いが、レジストメーカーの売上は好調であり原料の東洋合成の業績は堅調になるはず。後半にかけてEUVレジストの売上が寄与することを想定しており売られすぎたPER是正になるものと想定"
にからご,湘南投資勉強会,4977,新田ゼラチン　グミブームの継続。
与野,湘南投資勉強会,4980,デクセリアルズ　異方性導電膜と反射防止フィルムが好調キープ
えびす,湘南投資勉強会,5010,日本精蝋、業績の急回復し継続、円高方向に振れればさらに伸びる可能性も？復配や筆頭株主の変更が考えられます
大きなかぶ,湘南投資勉強会,5017,"富士石油
26年3月期はメジャー定期修繕あり、稼働率大きく落ち込む。中国の需要低迷、米国増産により原油価格下落（下落局面では在庫評価損）。26年3月期業績は相当落ち込みそうだが、現在の株価は折り込んでいそう。21.7％保有の出光興産からTOBがあり、外に買手が現れ争奪戦になれば2倍超えそう。"
とこいえ,湘南投資勉強会,5018,MORESCO ペロブスカイトでは無印。数値は低くとも、売り上げ営業利益率の上昇を評価する。
ぴょん,湘南投資勉強会,5018,MORESCO 割安＋ペロブスカイトが流行りのテーマになれば
さふらん,湘南投資勉強会,5018,MORESCO　ペロブスカイト太陽電池用封止材
たっくん,神戸投資勉強会,5026,"トリプルアイズ
AIシステムの開発や顔認証AI搭載の自社サービスの提供を手掛けるほか、GPU（画像処理半導体）サーバー事業の強化にも取り組む。成長は著しく、24年8月期は当初の営業赤字見通しから一転、黒字を確保"
ごろんちゃん,湘南投資勉強会,5027,AnyMind EPS成長継続も株価は23年3月の初値付近。
朝昼晩飯,湘南投資勉強会,5027,anymindG　オールドメディアからネットへの移行が進み引き合いが増加するため
ふくろう,湘南投資勉強会,5027,エニーマインド アジア市場の成長享受して利益爆増はまだまだ続く。
バンプ,神戸投資勉強会,5027,ANYMIND。順調に業績拡大が続く。
えびす,湘南投資勉強会,5028,セカンドサイトアナリティカ、業績も伸びていて9ヶ月決算から12ヶ月決算に復帰で見栄え
ののこ,湘南投資勉強会,5029,サークレイス Salesforce好調なのにコンサルのこちらは小型のためか注目度が低いように思うが年末に上がっちゃったがまだ時価総額33億。
りょう,湘南投資勉強会,5029,サークレイス
JAMMY,湘南投資勉強会,5029,サークレイス：サービスナウの国内での普及による業績拡大とPERの評価見直しで。
初心者,神戸投資勉強会,5032,エニーカラー　開催イベントを増やし、利益を向上させているから
でこぽん,神戸投資勉強会,5033,ヌーラボ 値上げ効果一巡もユーザー数再度増加 投資なければPER10切るはず
ほーちゃんのパパ,湘南投資勉強会,5034,UNERRY 黒転、中計達成に向けた急成長年度の始まりで期待値を超えてくると思うから
前田嘉一,神戸投資勉強会,5035,"HOUSEI
情報システム開発・運用・保守事業やクラウドサービス提供。新聞社、国境を越えて電子商取引（EC）を行うビジネスモデルに力がある。PBR１割れ、割安で放置されている。逆張りで２倍を狙う。"
だいたーん,湘南投資勉強会,5039,キットアライブ  今期は業績好転、上がり始めたら2倍も
roku,湘南投資勉強会,5039,キットアライブ　時価総額が安い
fukufukuro,湘南投資勉強会,5070,ドラフト デザイン力に強み。案件数と案件規模が拡大基調。
写楽保介,湘南投資勉強会,5071,ヴィス　中規模大規模案件へのシフトが見られる。また受注残も豊富。25.3期の予想は保守的に見える。上方修正が出ればPER観点で割安。
牛肉太郎,神戸投資勉強会,5075,アップコン　石破銘柄。２０億と小型の銘柄ながら、ウレタンを使った様々な工事を展開。本腰いれて防災に取りに組むなら、一気に受注が増える。
カンジ,湘南投資勉強会,5101,横浜ゴム　海外買収など攻めの経営
くっすんすん,湘南投資勉強会,5105,TOYOTIRE 井村さんファンド構成銘柄採用を予想。ゴム業界の割安なバリュエーションが見直される。
おいどん,どちらかと言うと神戸,5131,"リンカーズ　5131
前田工繊7821がもしもの時は..,"
mindset,湘南投資勉強会,5132,pluszero AEIを使った仮想人材派遣が本格的に導入されたら期待できる。
yume,湘南投資勉強会,5132,pluszero AIを活用しての省人化ニーズは拡大すると思う。成長の伸びが高い。
ぽちた,湘南投資勉強会,5134,POPER KPIの伸び順調
オニール好きの投資家,湘南投資勉強会,5136,tripla 昨年に続いてOTAに対して直予約の普及期待
ダニエル,湘南投資勉強会,5136,tripla　大幅に伸長　成長継続
お蝶,湘南投資勉強会,5137,スマートドライブ 営業利益の伸び
ボントレ,湘南投資勉強会,5138,Rebase
さすけ,湘南投資勉強会,5138,Rebase 高成長は止まらない
弁天。,湘南投資勉強会,5138,Ｒｅｂａｓｅ 提携多数、新規開拓増。来期も上方修正を繰り返しそうだから。
ぽちた,湘南投資勉強会,5138,Rebase 利益率良化
ULTRAGENKI 旧サバイブ,湘南投資勉強会,5139,オープンワーク   EV超低倍率＆カイホウファンド組入＆2026 超スーパーガイダンス
mindset,湘南投資勉強会,5139,オープンワーク リクルーティングセグメントの成長が始まったので。
miya,湘南投資勉強会,5139,オープンワーク 人材紹介のリクルーティング事業が伸びる。
TS開運,湘南投資勉強会,5185,フコク PERの改善、EPSの上昇
タカ@takanovalue,湘南投資勉強会,5194,相模ゴム オアシス等のアクティビスト参入により現経営陣の影響力が低下中。MBOなどを期待。
めそ,湘南投資勉強会,5202,日本板硝子
ごんきち,湘南投資勉強会,5208,有沢製作所 AR用の部材が評価される。VUZIからの流れ。
ロニー,湘南投資勉強会,5216,倉元製作所 ロボット事業やペロブスカイト太陽電池事業が順調に推移すれば、ポテンシャルの大きさから脚光を浴びる。
とりお,湘南投資勉強会,5233,太平洋セメント
sakumaT,湘南投資勉強会,5243,note    依然としてIR積極的なのと、四季報予想悪くないので黑転を達成してきている中でこれからかなり利益伸ばしてくるのではないかと予想。
すっぴー,滋賀投資勉強会,5243,note 何らかの形で評価が変われば、2倍くらい行くんでないか(感情論)
しのぴーX＠横綱若三杉,神戸投資勉強会,5243,note 法人向け、個人向けを問わず、ブログ形式での投稿プラットフォーマーとして存在感。P/Lの黒字転換、フリーキャッシュフローの改善傾向なども明るい材料と予想。
Mくんニキ,神戸投資勉強会,5243,Note 来期から収益フェーズのはずだから
エル川,湘南投資勉強会,5244,ｊｉｇ．ｊｐ　配信サイトふわっちを運営。推し活の一種。お金があっても結婚、子育てやリアルでの親密な人間関係を選択しないような層が増えておりそういう人が小粒な配信者に投げ銭を爆投げして貢献欲求を満たしてるのかも。数字が伴い評価が変わればワンチャン。
おいどん,どちらかと言うと神戸,5244,"Jig.jp 5244
福井県に関わりがある会社だから。創業者は石川出身ですが。"
Yokabun,湘南投資勉強会,5246,ELEMENTS　顔認証AIサービス
ほみ株,神戸投資勉強会,5246,ELEMENTS 黒字化のインパクト狙い
momo,湘南投資勉強会,5246,エレメンツ　技術の再評価
天パの電波ちゃん,神戸投資勉強会,5250,プライムストラテジー
エアー,直近はkabuberryやパンローリングのIRセミナー等に参加しております。,5250,プライムストラテジー　米国で戦略AIが特許取得。トランプさんの影響で米国で活躍するAI関連企業は追い風。　WEB高速化のニーズは今後増加と予想。
べいべー,湘南投資勉強会,5253,カバー　来季はTCGに加えて海外売上爆増で引き続き高成長を継続。グロースの地合いが良くなりPERも水準訂正
Lily,秋からIR説明会にどちらの勉強会でも参加させて頂いています。,5254,Arent 3Dを核としたシステム開発で建設業界のDX
mindset,湘南投資勉強会,5254,Arent ビジネスモデル、経営者、市場環境、ビジョンいずれも2倍ではすまない。
miya,湘南投資勉強会,5254,Arent 建設用BIMを採用する企業が拡がり当社に恩恵
タッチ,湘南投資勉強会,5254,"Arent
建設人材不足で効率化が求められているから"
つま,湘南投資勉強会,5256,"Fusic 量子関連株で上場来高値が6,760円。"
なのなの,湘南投資勉強会,5257,ノバシステム　2025年12月期から配当開始予定。2024年12月期は3Qまで進捗率いまいちだが、2025年12月期の計画次第では上値追いもあり得る。時価総額34億円
yoshi,湘南投資勉強会,5258,TMN グロース株を１銘柄は入れたいと思い、kabuberryのセミナーのなかから選びました。
くろせ,湘南投資勉強会,5258,TMN 本当に26/03ガイダンス通りに出るなら安く見えるものの怪しめ…
ボントレ,湘南投資勉強会,5258,TMN 来期期待
ぷに丸,湘南投資勉強会,5258,トランザクションメディアネットワークス 悪材料もでていい感じにさがっているので、今後の業績によい見通しがでればあがるかも。
ににもも,湘南投資勉強会,5262,日本ヒューム 来期の売上高、営業利益予想は過去最高更新。防減災需要は引き続き高いと思う。
とこいえ,湘南投資勉強会,5310,東洋炭素 売り上げ営業利益率20.1％で、PER12倍は評価不足。
ヒロシ,湘南投資勉強会,5310,東洋炭素 半導体の需要鈍化から株価半減も、長期的な成長の見方は変わらず、財務は万全。どこかで見直しが入りそう。
ににもも,湘南投資勉強会,5333,日本ガイシ　データセンターにおいて、ハードディスクドライブ用の圧電素子の需要拡大。の割にはまだ株価安い？
本屋,湘南投資勉強会,5333,日本ガイシ 蓄電池思惑
お蝶,湘南投資勉強会,5381,Mipox データセンター投資拡大の影響
