	No.	お名前(HN可)	所属陣営	TYPE	銘柄コード	2倍になりそうな銘柄	理由	件数
531	327	タダモノ	湘南投資勉強会	東証PR	3741	セック	セック　防衛・宇宙などキラキラしてるセグメントを有し、医療の大型受注によりEPSとPERがそれぞれ1.5適度に。受注残昨対170%。連続増配言及。量子コンピューターも。悪くないだろう	4
532	328	Bolsa	湘南投資勉強会	東証PR	3741	セック	セック　防衛関連、量子コンピュータ、AI関連で総合的に注目	4
533	329	蝦名美穂子	くまのもり	東証PR	3741	セック	セック　宇宙関連に強い企業のため	4
534	334	豚さがり	湘南投資勉強会	東証PR	3778	さくらインターネット	さくらインターネット　【カタリスト】生成AI、国産データセンター	4
535	335	お蝶	湘南投資勉強会	東証PR	3778	さくらインターネット	さくらインターネット クラウド事業業績拡大	4
536	336	ごはん	湘南投資勉強会	東証PR	3778	さくらインターネット	さくらインターネット　化けそうな気がする	4
537	337	きたやん	神戸投資勉強会	東証PR	3778	さくらインターネット	さくらインターネット 日本で初めてのことをたくさん行っており日本産のサーバーは国をあげて使ってほしいと言っているから。	4
538	387	かもめ	湘南投資勉強会	東証PR	3963	シンクロ・フード	シンクロ・フード。成長してるのに株価軟調でさすがに低PER担ってきてるシリーズ。	4
539	388	ブライ	神戸投資勉強会	東証PR	3963	シンクロ・フード	シンクロフード 2024年のクソムーブからの反転期待	4
540	389	kawasemi7	湘南投資勉強会	東証PR	3963	シンクロ・フード	シンクロフード　公募増資後株価は低迷しており、プライム上場維持のためには株価を大幅に上げる必要があるため	4
541	390	ほみ株	神戸投資勉強会	東証PR	3963	シンクロ・フード	シンクロフード 上場維持基準の流通株式時価総額の基準を満たすために優待を出しそう	4
542	400	めそ	湘南投資勉強会	東証PR	4005	住友化学	住友化学	4
543	401	柊	湘南投資勉強会	東証PR	4005	住友化学	住友化学 Ｖ字回復目処	4
544	402	Tommy	湘南投資勉強会	東証PR	4005	住友化学	住友化学 リストラ後、国内半導体向上向けの販売増で利益を生み出すシナリオ	4
545	403	日生牡蠣	どちらの勉強会にもまだ参加したことがないです	東証PR	4005	住友化学	住友化学　資金循環で化学セクターが盛り上がるのに期待	4
546	477	天パの電波ちゃん	神戸投資勉強会	東証GR	4264	セキュア	セキュア	4
547	478	Lily	秋からIR説明会にどちらの勉強会でも参加させて頂いています。	東証GR	4264	セキュア	セキュア　「AI・画像認識・顔認証ｘセキュリティ」	4
548	479	さすけ	湘南投資勉強会	東証GR	4264	セキュア	セキュア　カメラが世の中を支配	4
549	480	ゆかちん	はじめてです	東証GR	4264	セキュア	セキュア 物騒な事件が多い中セキュリティや防犯は今後も伸びる	4
550	497	masa	湘南投資勉強会	東証GR	4374	ROBOT_PAYMENT	ロボットペイメント：ストックビジネスで2026年3月期の営業利益12億円の達成確度が高いのと、それを折り込むことがあると、グロースに資金が入らなくても、株価UPのため。	4
551	498	opopo	湘南投資勉強会	東証GR	4374	ROBOT_PAYMENT	ロボペイ 中計上方修正期待	4
552	499	ぬる	湘南投資勉強会	東証GR	4374	ROBOT_PAYMENT	堅調に売り上げが伸びており、利益率が順調に回復し、今後もまだ成長が続くと予想されるため。	4
553	500	JAMMY	湘南投資勉強会	東証GR	4374	ROBOT_PAYMENT	ロボペイ：中計達成確率の高まりとPERの評価見直しで。	4
554	525	Nori. H	湘南投資勉強会	東証GR	4419	Finatextホールディングス	フィナＨＤ	4
555	526	ぬる	湘南投資勉強会	東証GR	4419	Finatextホールディングス	売り上げが順調に伸びており、まだこのまま成長が見込めると想定されるが、その場合の来年の利益に対して割安と考えられるため。	4
556	527	バンプ	神戸投資勉強会	東証GR	4419	Finatextホールディングス	REBASE。堅実な黒字経営での業績拡大が魅力	4
557	528	バンプ	神戸投資勉強会	東証GR	4419	Finatextホールディングス	finatextホールディングス。順調に業績拡大が続く	4
558	535	roku	湘南投資勉強会	東証GR	4436	ミンカブ・ジ・インフォノイド	みんかぶ　株探値上げ	4
559	536	くま	湘南投資勉強会	東証GR	4436	ミンカブ・ジ・インフォノイド	ミンカブ・ジ・インフォノイド　割安になっており、四季報予想数字行くなら2倍は取れそう	4
560	537	なのなの	湘南投資勉強会	東証GR	4436	ミンカブ・ジ・インフォノイド	ミンカブ・ジ・インフォノイド　信頼度は高くないが、2026年3月期は大幅増益を見込む。大株主のSBI、QUICK、日本経済新聞社どれもが欲しがりそうなビジネスモデル	4
561	538	Cowとれーだー	湘南投資勉強会	東証GR	4436	ミンカブ・ジ・インフォノイド	ミンカブ:ライブドアニュース事業による黒字化	4
562	545	マー	湘南投資勉強会	東証PR	4449	ギフティ	ギフティ	4
563	546	しも	湘南投資勉強会	東証PR	4449	ギフティ	ギフティ　初配当からの成長による連続増配	4
564	547	とらほう	神戸投資勉強会	東証PR	4449	ギフティ	ギフティ 利益本格化フェイズに。初配→累進配当のシグナリング	4
565	548	豚さがり	湘南投資勉強会	東証PR	4449	ギフティ	ギフティー　【四季報】Eギフト顧客拡大で大幅増　【事象】Eギフトが懸賞として利用される機会が増加	4
566	552	HAL	神戸投資勉強会	東証GR	4477	BASE	ＢＡＳＥ 今季黒字転換、大幅増益が期待できる	4
567	553	X	神戸投資勉強会	東証GR	4477	BASE	BASE 赤字から黒字に転換し機関投資家の評価が変わる	4
568	554	メイプル	湘南投資勉強会	東証GR	4477	BASE	BASE：黒字化	4
569	555	まもる	神戸投資勉強会	東証GR	4477	BASE	BACE	4
570	643	ごろんちゃん	湘南投資勉強会	東証GR	5027	AnyMind_Group	AnyMind EPS成長継続も株価は23年3月の初値付近。	4
571	644	朝昼晩飯	湘南投資勉強会	東証GR	5027	AnyMind_Group	anymindG　オールドメディアからネットへの移行が進み引き合いが増加するため	4
572	645	ふくろう	湘南投資勉強会	東証GR	5027	AnyMind_Group	エニーマインド アジア市場の成長享受して利益爆増はまだまだ続く。	4
573	646	バンプ	神戸投資勉強会	東証GR	5027	AnyMind_Group	ANYMIND。順調に業績拡大が続く。	4
574	670	ボントレ	湘南投資勉強会	東証GR	5138	Rebase	Rebase	4
575	671	さすけ	湘南投資勉強会	東証GR	5138	Rebase	Rebase 高成長は止まらない	4
576	672	弁天。	湘南投資勉強会	東証GR	5138	Rebase	Ｒｅｂａｓｅ 提携多数、新規開拓増。来期も上方修正を繰り返しそうだから。	4
577	673	ぽちた	湘南投資勉強会	東証GR	5138	Rebase	Rebase 利益率良化	4
578	696	Lily	秋からIR説明会にどちらの勉強会でも参加させて頂いています。	東証GR	5254	Arent	Arent 3Dを核としたシステム開発で建設業界のDX	4
579	697	mindset	湘南投資勉強会	東証GR	5254	Arent	Arent ビジネスモデル、経営者、市場環境、ビジョンいずれも2倍ではすまない。	4
580	698	miya	湘南投資勉強会	東証GR	5254	Arent	Arent 建設用BIMを採用する企業が拡がり当社に恩恵	4
581	699	タッチ	湘南投資勉強会	東証GR	5254	Arent	Arent 建設人材不足で効率化が求められているから	4
582	702	yoshi	湘南投資勉強会	東証GR	5258	トランザクション・メディア・ネットワークス	TMN グロース株を１銘柄は入れたいと思い、kabuberryのセミナーのなかから選びました。	4
583	703	くろせ	湘南投資勉強会	東証GR	5258	トランザクション・メディア・ネットワークス	TMN 本当に26/03ガイダンス通りに出るなら安く見えるものの怪しめ…	4
584	704	ボントレ	湘南投資勉強会	東証GR	5258	トランザクション・メディア・ネットワークス	TMN 来期期待	4
585	705	ぷに丸	湘南投資勉強会	東証GR	5258	トランザクション・メディア・ネットワークス	トランザクションメディアネットワークス 悪材料もでていい感じにさがっているので、今後の業績によい見通しがでればあがるかも。	4
586	764	KM	神戸投資勉強会	東証PR	5726	大阪チタニウムテクノロジーズ	大阪チタニウム 10月からの株価下落からの回復、価格改定効果が来期に影響	4
587	765	めがね	神戸投資勉強会	東証PR	5726	大阪チタニウムテクノロジーズ	大阪チタニウム トランプ効果で、ボーイング復活	4
588	766	oct	湘南投資勉強会	東証PR	5726	大阪チタニウムテクノロジーズ	大阪チタニウムテクノロジーズ　BA労使問題解決方向で、航空機向け生産回復が見込まれる。	4
589	767	トム	湘南投資勉強会	東証PR	5726	大阪チタニウムテクノロジーズ	大阪チタニウムテクノロジーズ　旅客機需要が本格化し、業績は回復途上であるが、株価は、底値圏　本社工場でスポンジチタンの生産能力増強を決めており、会社は今後もチタン需要を強気にみている。	4
590	808	ヒロユキ	初参加	東証ST	6016	ジャパンエンジンコーポレーション	ジャパンエンジン 仮に中国造船がシェアを伸ばすとしても一定数ここのライセンスが使われる。	4
591	809	ウィン	湘南投資勉強会	東証ST	6016	ジャパンエンジンコーポレーション	ジャパンエンジン　業績好調、新中計の発表で再度注目を集めると想定されるため	4
592	810	おとわ	湘南投資勉強会	東証ST	6016	ジャパンエンジンコーポレーション	ジャパンエンジン　造船、カーボンニュートラルが追い風、アンモニア燃料エンジン開発が順調	4
593	811	KZお	湘南投資勉強会	東証ST	6016	ジャパンエンジンコーポレーション	ジャパンエンジン　もうええでしょ。	4
594	815	ミキスケ	湘南投資勉強会	東証GR	6031	ZETA	ZETA　リテールメディアが伸びると思うので。	4
595	816	opopo	湘南投資勉強会	東証GR	6031	ZETA	ZATA 中計実現	4
596	817	JAMMY	湘南投資勉強会	東証GR	6031	ZETA	ZETA：中計に盛り込まれていないAD事業の上振れとPERの許容拡大で。	4
597	818	ゴミの持ち腐れ	湘南投資勉強会	東証ST	6031	ZETA	ZETA パクリ銘柄。パクリは正義	4
598	852	BEN	湘南投資勉強会	東証ST	6203	豊和工業	豐和工業　防衛予算増で一番利益率が高い火器が伸びる。他のセグメントも堅調。現状株価割安。	4
599	853	りんたん	湘南投資勉強会	東証ST	6203	豊和工業	豊和工業 防衛関連では出遅れ感があるので意外高に期待	4
600	854	Bolsa	湘南投資勉強会	東証ST	6203	豊和工業	豊和工業　防衛関連好でPER1倍割れ	4
601	855	石井	湘南投資勉強会	東証ST	6203	豊和工業	豊和工業　防衛省向けの銃の生産能力が前期2倍になる為。防衛銘柄としてのPERの切り上がりが期待できる。	4
602	869	はっとり波平	無所属(kabuberry?)	東証ST	6226	守谷輸送機工業	守谷輸送機工業 荷物用エレベーター大手。製造・据付・販売保守	4
603	870	ポンポコたぬき	湘南投資勉強会	東証ST	6226	守谷輸送機工業	守谷輸送機工業 大型荷物用エレベーター国内シェア70%。船用は韓国の造船からも。保守は利益率の高いストック。	4
604	871	にこいち	四季報investors	東証ST	6226	守谷輸送機工業	守谷輸送機工業（6226）。需要が旺盛。	4
605	872	neko4979	東京勉強会	東証ST	6226	守谷輸送機工業	守谷輸送機工業　　ビジネスモデルが強固で業績、今後の成長性からみて割安感があるから。	4
606	953	とっしー	湘南投資勉強会	東証GR	6580	ライトアップ	ライトアップ　AI事業の確変	4
607	954	本屋	湘南投資勉強会	東証GR	6580	ライトアップ	ライトアップ 四季報見て何となくもう1回相場来ないかな？	4
608	955	でこぽん	神戸投資勉強会	東証GR	6580	ライトアップ	ライトアップ 受注絶好調のAI事業が業績に反映されてくるはず	4
609	956	フク	無し	東証GR	6580	ライトアップ	ライトアップ　水準訂正	4
610	997	こた	湘南投資勉強会	東証ST	6777	santec_Holdings	ｓａｎｔｅｃ	4
611	998	ULTRAGENKI 旧サバイブ	湘南投資勉強会	東証ST	6777	santec_Holdings	santec  隠れ  データセンター  光通信 ブローコム	4
612	999	たっくん	神戸投資勉強会	東証ST	6777	santec_Holdings	"ｓａｎｔｅｃ
生成AI関連"	4
613	1000	キユーピー	湘南投資勉強会	東証ST	6777	santec_Holdings	"サンテックHD
量子コンピュータの時流に乗る。
光子分野などの独自技術を量子コンピューター分野で活用。空間光変調器が量子コンピュータ研究で活躍する。"	4
614	1026	ゆきお	湘南投資勉強会	東証ST	6932	遠藤照明	遠藤照明 27年蛍光灯生産終了によるオフィスLED切り替え需要。	4
615	1027	べいべー	湘南投資勉強会	東証ST	6932	遠藤照明	遠藤照明　蛍光灯生産終了カタリスト有。自分のマンションの街灯もLEDに入替になった。そろそろ特需来るのでは？	4
616	1028	はっとり波平	無所属(kabuberry?)	東証ST	6932	遠藤照明	藤照照明 LED2027年蛍光灯 商業施設用照明で国内トップ級。LED照明を積極展開のため	4
617	1029	Cowとれーだー	湘南投資勉強会	東証ST	6932	遠藤照明	遠藤照明:2027年蛍光灯製造禁止	4
618	1035	ぷに丸	湘南投資勉強会	東証PR	6965	浜松ホトニクス	浜松ホトニクス いろいろと技術のある会社で、複数領域でテーマ株となればあがるかも。	4
619	1036	saku	湘南投資勉強会	東証ST	6965	浜松ホトニクス	浜松ホトニクス　今年かはわからないけど3年以内に倍には戻すでしょう。	4
620	1037	次男坊	神戸投資勉強会	東証PR	6965	浜松ホトニクス	浜松ホトニクス そろそろ顧客の在庫調整も解消されて業績回復してほしい。株価も底打ち？	4
621	1038	くりご飯	湘南投資勉強会	東証PR	6965	浜松ホトニクス	浜松ホトニクス　光の未来を信じる	4
622	1042	めがね	神戸投資勉強会	東証PR	6976	太陽誘電	太陽誘電  車載用の需要回復	4
623	1043	miya	湘南投資勉強会	東証PR	6976	太陽誘電	太陽誘電 株価が低位に推移しており、PC、スマホの回復期待で上がる	4
624	1044	日生牡蠣	どちらの勉強会にもまだ参加したことがないです	東証PR	6976	太陽誘電	太陽誘電　去年期待されていたシナリオが今年遅れてくるのを期待	4
625	1045	くりご飯	湘南投資勉強会	東証PR	6976	太陽誘電	太陽誘電　某インフ...ではなく、Windows10サポ終了、DC需要など。	4
626	1070	KR	湘南投資勉強会	東証ST	7018	内海造船	内海造船	4
627	1071	Y.G.	湘南投資勉強会	東証ST	7018	内海造船	内海造船 これまで円建て決済の受け渡しで低利益率も、今後ドル建て外航船の契約の売上が乗ってくるのでEPS伸び＊バリュエーション改善で２倍以上狙える	4
628	1072	むね坊主	神戸投資勉強会	東証ST	7018	内海造船	内海造船　外航船受注で利益増。2026年以降に受け渡しだと無理	4
629	1073	フックン	神戸投資勉強会	東証ST	7018	内海造船	内海造船　造船銘柄活況	4
630	1108	ひかり	無所属	東証GR	7094	NexTone	NexTone 日本のアニメ、音楽ブームがきているため	4
631	1109	まつ	湘南投資勉強会	東証GR	7094	NexTone	NexTone 2025年は売り上げだけではなく利益もついてきて再評価される。今度こそグロースの時代が到来する！	4
632	1110	KR	湘南投資勉強会	東証GR	7094	NexTone	NexTone 会社中計通りなら翌期利益+80%程度。中計通りに会社成長していくなら	4
633	1111	opopo	湘南投資勉強会	東証GR	7094	NexTone	NexTone 中計実現期待。売上実現の蓋然性は高いので、コスト削減のみなので、実現可能性が高そう。	4
634	1112	おのこ	所属なし	東証PR	7095	Macbee_Planet	Macbee Planet　成功報酬型市場の拡大に伴う成長に期待。株価への意識高い	4
635	1113	初心	湘南投資勉強会	東証PR	7095	Macbee_Planet	Macbee 売られすぎ？	4
636	1114	牛肉太郎	神戸投資勉強会	東証PR	7095	Macbee_Planet	マクビープラネット　そもそも成長意欲の高い会社であること、貸付金の件が尾を引いて安い。積極的に勉強会も登壇しているので、ビックチェンジがあれば即人気化しそう。	4
637	1115	キリン@神戸投資勉強会	神戸投資勉強会	東証PR	7095	Macbee_Planet	マクビープラネット　成長続けているのにper10切りそう	4
638	1146	とこいえ	湘南投資勉強会	東証PR	7205	日野自動車	日野自 赤字→300億→500億の営業黒字の回復ぶり。225。	4
639	1147	とりお	湘南投資勉強会	東証PR	7205	日野自動車	日野自動車 底打ち狙い	4
640	1148	PINO	湘南投資勉強会	東証PR	7205	日野自動車	日野自動車　認証不正により多大な特損計上したが販売は堅調であり、悪材料出尽くしで上昇見込める	4
641	1149	むね坊主	神戸投資勉強会	東証PR	7205	日野自動車	日野自動車	4
642	1165	めそ	湘南投資勉強会	東証PR	7261	マツダ	マツダ	4
643	1166	さーさ	神戸投資勉強会	東証PR	7261	マツダ	マツダ 株価の観点で底入れから上昇に転じると予想	4
644	1167	あきら	神戸投資勉強会	東証PR	7261	マツダ	マツダ　指標的に割安。自動車業界再編の波に乗るか？	4
645	1168	今亀庵	湘南投資勉強会	東証PR	7261	マツダ	マツダ　米国自動車販売回復	4
646	1193	こた	湘南投資勉強会	東証GR	7378	アシロ	アシロ	4
647	1194	Lily	秋からIR説明会にどちらの勉強会でも参加させて頂いています。	東証GR	7378	アシロ	アシロ　経常利益増益率295%予想。	4
648	1195	cocoa	神戸投資勉強会	東証GR	7378	アシロ	アシロ 新中計の発表により、更なる株価上昇	4
649	1196	ののこ	湘南投資勉強会	東証GR	7378	アシロ	アシロ 投資期間終了し利益創出期間に入った。ストック事業の安定的な伸びに加え、派生メディアが急成長している。	4
650	1205	やっしー	神戸投資勉強会	東証PR	7408	ジャムコ	ジャムコ	4
651	1206	keiko	湘南投資勉強会	東証PR	7408	ジャムコ	ジャムコ　ボーイングの品質問題やストライキなどの影響で納入遅延が続いており、古い機材に対しての整備、リフォーム需要が高まり利益率の高い内製品改修やスペアパーツの受注が増えている。さらにボーイングもそろそろ復活するのでは…	4
652	1207	M	湘南投資勉強会	東証PR	7408	ジャムコ	ジャムコ　航空機需要	4
653	1208	もりたか。	湘南投資勉強会	東証PR	7408	ジャムコ	"ジャムコ
売上高、営業利益が大きく伸びており、利益率も増加している。利益率の高い、航空会社向け内装改装用製品や航空機スペアパーツの受注残が大きくなっており、今後の業績拡大が期待される。"	4
654	1223	けん	湘南投資勉強会	東証ST	7608	エスケイジャパン	sk japan   プライズ景品の会社。ラウンドワン持分法適用。アミューズメント事業好調な企業多くその恩恵期待	4
655	1224	弁天。	湘南投資勉強会	東証ST	7608	エスケイジャパン	エスケイジャパン 2025年テーマ株の１つ「IPビジネス」だから。インバウンド需要期待。	4
656	1225	タダモノ	湘南投資勉強会	東証ST	7608	エスケイジャパン	エスケイジャパン　ギガクレーンがアメリカでそんなに人気なら恩恵ないですか	4
657	1226	boxman	湘南投資勉強会	東証ST	7608	エスケイジャパン	株式会社 エスケイジャパン ラウンドワンのアメリカでの好調を受けて	4
658	1239	りんたん	湘南投資勉強会	東証ST	7711	助川電気工業	助川電気工業 核融合発電の再度の盛り上がりを感じるのでPER上昇に期待	4
659	1240	カズ	湘南投資勉強会	東証ST	7711	助川電気工業	助川電気工業　原子力発電の再稼働に向けて売上向上	4
660	1241	さすけ	湘南投資勉強会	東証ST	7711	助川電気工業	助川電気工業　原発関連	4
661	1242	キユーピー	湘南投資勉強会	東証ST	7711	助川電気工業	助川電気工業 核融合関連製品及び原子力発電所の再稼働に向けた関連製品が好調に推移している。	4
662	1310	ぽちた	湘南投資勉強会	東証ST	8226	理経	理経 エアロパートナーズでの受注残爆増	4
663	1311	いなじぃ	無所属	東証ST	8226	理経	理経 次世代通信インフラや防衛関連のテーマで盛り上げれば	4
664	1312	BEN	湘南投資勉強会	東証ST	8226	理経	理経　利益率が高い防衛省向け電子部品が伸びおり、今後の受注も好調とみる。衛星案件もあり他セグメントが多少悪くても増益は継続する。現状株価割安。	4
665	1313	KZお	湘南投資勉強会	東証ST	8226	理経	理経　小型防衛のバリュエーションチェンジ。	4
666	1344	yume	湘南投資勉強会	東証ST	8844	コスモスイニシア	コスモスイニシア  ダイワハウスの子会社で共栄メンテナンスも保有。大阪にアパートメントホテルも運営しており、万博需要もあり稼働率があがれば増収が見込めるかも。	4
667	1345	DAIBOUCHOU	湘南投資勉強会	東証ST	8844	コスモスイニシア	コスモスイニシア　アパートメントホテル事業が成長中。	4
668	1346	甲鉄城のハバネロ	西成投資研究会	東証ST	8844	コスモスイニシア	"コスモスイニシア　
ホテル単価上昇
優待新設期待"	4
669	1347	NY	神戸投資勉強会	東証ST	8844	コスモスイニシア	コスモスイニシア　ホテル好調PERの拡大見込む	4
670	1557	うわん	神戸投資勉強会	東証GR	153A	カウリス	カウリス の売り。小規模な銀行ではすでに解約が起こっており、スケールしないと思われる。時価総額５０億程度になる可能性のほうが高いのでは。	4
671	1558	Y.G.	湘南投資勉強会	東証GR	153A	カウリス	カウリス 下方修正で株価は底値圏だが、不正アクセス検知サービスというテーマで金融業者との大きな契約が決まれば決算でしっかり跳ねる見込み 専門性が高いSaaSで利益率も高く、黒字を出している	4
672	1559	X	神戸投資勉強会	東証GR	153A	カウリス	カウリス 電力向けサービス開始がカタリスト	4
673	1560	piyopiyodawan	神戸投資勉強会	東証GR	153A	カウリス	カウリス。より金融機関に導入される展開が来れば。	4
674	1567	Chiharu24	湘南投資勉強会	東証GR	166A	タスキホールディングス	タスキ　中期経営計画に期待	4
675	1568	pekepeke	湘南投資勉強会	東証GR	166A	タスキホールディングス	タスキHD　強気な業績予想が実現されれば見直し買いが入りそう。	4
676	1569	ユキカゼ	湘南投資勉強会	東証GR	166A	タスキホールディングス	タスキホールディングス　富裕層向けに投資用マンションを開発をしているので、継続するインフレ状況の中で、日本人にも外国人にも東京の駅近不動産は今後も需要があると思いました。	4
677	1570	フクミサ	湘南投資勉強会	東証GR	166A	タスキホールディングス	タスキHD　不動産テックへの注目　空き家問題の解決　経営陣	4
678	1573	ボントレ	湘南投資勉強会	東証GR	173a	ハンモック	ハンモック	4
679	1574	Minty	湘南投資勉強会	東証GR	173A	ハンモック	ハンモック ランサムウェア対策でセキュリティ製品が伸びそう。	4
680	1575	おいどん	どちらかと言うと神戸	東証GR	173A	ハンモック	"ハンモック　173A
順調に成長しているから。"	4
681	1576	シュレディンガーのぱんだ	さいたま投資勉強会	東証GR	173A	ハンモック	ハンモック（上場したばかりで、柱のネットワークが好調のため）	4
682	1577	やさあた	神戸投資勉強会	東証GR	176A	レジル	レジル 24/04月上場。25/06黒転期待	4
683	1578	ゆかちん	はじめてです	東証GR	176A	レジル	レジル ビジネスモデルが面白くまだまだ伸び代があると思う。	4
684	1579	TAKAS	湘南投資勉強会	東証GR	176A	レジル	レジル　三菱地所との提携やNTTアーノルドの事業吸収など、事業拡大のスピード感が良い	4
685	1580	ayame	湘南投資勉強会	東証GR	176A	レジル	レジル。電力料金アップにより業績向上を見込んで。	4
686	1624	emi	湘南投資勉強会	東証GR	215A	タイミー	タイミー	4
687	1625	うわん	神戸投資勉強会	東証GR	215A	タイミー	タイミー の売り。システムの不備がまだ出てきそう。大手が真似し始めている。1400億の時価総額が700億になったところで誰も驚かないと思う。	4
688	1626	ウィン	湘南投資勉強会	東証GR	215A	タイミー	タイミー　業績好調、年収の壁問題に相まって成長すると想定されるから	4
689	1627	タッチ	湘南投資勉強会	東証GR	215A	タイミー	タイミー 人材不足で隙間バイトの需要が増えてる	4
690	1705	ベリーピザ	湘南投資勉強会	東証GR	281A	インフォメティス	"インフォメティス　	エネルギー関連データを独自のAIで解析するエナジー・インフォマティクス事業を手掛ける。黒字化タイミング。費用は売上に比例して増加せず、飛躍的な利益成長が期待できる。"	4
691	1706	ぼんやり田中	神戸投資勉強会	東証GR	281A	インフォメティス	インフォメティス　次世代スマートメーターの伸長期待	4
692	1707	さざなみ	湘南投資勉強会	東証GR	281A	インフォメティス	インフォメティス　大きく業績が伸びそう	4
693	1708	だいふく	湘南投資勉強会	東証GR	281A	インフォメティス	インフォメティス 次世代スマートメーターのデータ活用。交換需要で。	4
694	5	お蝶	湘南投資勉強会	東証ST	1418	インターライフホールディングス	インターライフ 万博関連事業の伸び	3
695	6	えびす	湘南投資勉強会	東証ST	1418	インターライフホールディングス	インターライフ 経営環境の安定、業績拡大、万博関連（販売先丹青社、株主取締役乃村工藝社）大阪IR関連（株主経営陣パチンコピーアール系、販売先大成建設）防災庁（災害対策室、危機管理センター建設実績あり）	3
696	7	とものり	湘南投資勉強会	東証ST	1418	インターライフホールディングス	インターライフ　大阪万博、高還元志向。	3
697	8	なつみ	湘南投資勉強会	東証PR	1429	日本アクア	日本アクア 2025年から断熱等級6増加見通し。DC関連も。	3
698	9	奥中 悠二朗	湘南投資勉強会	東証PR	1429	日本アクア	日本アクア 各住宅メーカーが採用を始めている気がするので。	3
699	10	どみの	神戸投資勉強会	東証PR	1429	日本アクア	日本アクア 戸建回復すれば、補助金ブーストもあって伸びそう	3
700	54	柊	湘南投資勉強会	東証ST	1965	テクノ菱和	テクノ菱和 サブコン続伸	3
701	55	お多福。	湘南投資勉強会	東証ST	1965	テクノ菱和	テクノ菱和　産業空調と株主還元	3
702	56	よっしー	湘南投資勉強会	東証ST	1965	テクノ菱和	テクノ菱和 受注拡大、利益率上昇、増配	3
703	85	とっしー	湘南投資勉強会	東証ST	2345	クシム	クシム　仮想通貨関連出遅れ、Zaif上場予定	3
704	86	ぼんやり田中	神戸投資勉強会	東証ST	2345	クシム	クシム　議決権争いになりそうだが、田原氏側にシナリオがあるのではと妄想	3
705	87	Cowとれーだー	湘南投資勉強会	東証ST	2345	クシム	クシム: 来期黒字化、経営陣田原さん期待、疑義注記解消	3
706	90	グラッチ	湘南投資勉強会	東証PR	2395	新日本科学	新日本科学 経鼻偏頭痛薬STS10新薬承認再申請。	3
707	91	ゆー	特になし	東証PR	2395	新日本科学	新日本科学 受注残は豊富。加えてアメリカでの新規薬剤のFDA承認に向けて動いており2025年中には承認される見通し。現時点でも割安と考えている。	3
708	92	アポロ	湘南投資勉強会	東証PR	2395	新日本科学	新日本科学　子会社SATUMAの経鼻片頭痛薬承認となれば営業利益が大きく変わる	3
709	93	くろすけ	湘南投資勉強会	東証PR	2410	キャリアデザインセンター	キャリアデザインセンター　プライム基準になるために株価3000円になるのが必要。業態的にプライムに残りたいでしょうから何らかの株価対策をしてくる可能性が高い。	3
710	94	本屋	湘南投資勉強会	東証PR	2410	キャリアデザインセンター	"キョリアデザインセンター プライム基準満たすためには株価3000必要 、大還元で3000オーバーお願いします！
現状1800程度、利回り5%超えで下値は硬そう"	3
711	95	タイ	湘南投資勉強会	東証PR	2410	キャリアデザインセンター	キャリアデザインセンター　還元期待	3
712	130	sb9984	神戸投資勉強会	東証PR	2607	不二製油グループ本社	"不二精油　４月２５日の日経記事、タイトルがカカオ豆品薄、密輸も拍車　農家に届かぬ価格上昇の恩恵、の中に、日本でもチョコレート製品の値上げが避けられそうにない。
伊藤忠商事の山田恵公カカオ・ゴマ課長は「価格が高いカカオ豆由来の原材料の配合を抑え、代替植物油脂を活用するなど消費者目線での製品開発の工夫も始まっている」と指摘する。という件りがあり、代替植物油脂を生産している不二精油の株主を確認すると伊藤忠系だった事から、記事中の山田課長は同社の事を前提にコメントしていると考え、今後需要が顕在化してくると考えました。気候変動が背景にあり間単には解決出来ない事から息の長い需要拡大が見込め業績拡大、株価上昇を見込んでいます。"	3
713	131	カズ	湘南投資勉強会	東証PR	2607	不二製油グループ本社	不二製油G カカオ豆の価格が高騰してるから	3
714	132	masa	湘南投資勉強会	東証PR	2607	不二製油グループ本社	不二製油グループ本社：カカオの値上がりによりチョコレートの代替原材料として植物油脂の需要/価格が上がることが考えられるため。	3
715	149	スーパーこさく	神戸投資勉強会	東証ST	2780	コメ兵ホールディングス	コメ兵ホールディングス　百貨店内店舗開設。ブランド買取店のブランド化	3
716	150	たぬ吉	湘南投資勉強会	東証ST	2780	コメ兵ホールディングス	コメ兵ホールディングス　2780　利益の伸び　プライム上場	3
717	151	NY	神戸投資勉強会	東証ST	2780	コメ兵ホールディングス	コメ兵　在庫圧縮でマージン悪化、良化したらおもしろいかも？	3
718	154	トム	湘南投資勉強会	東証ST	2820	やまみ	やまみ　アメリカ産大豆の仕入れ価格が、14ドル台から3月に11ドル台で、来期の契約は、10ドル台まで下がる。トランプになり、ドル高から円高に為替のトレンドが変わると2倍になる。	3
719	155	かめぞう	湘南投資勉強会	東証ST	2820	やまみ	やまみ　円安継続に伴い中小の豆腐店の倒産が継続し、残存者利益を期待	3
720	156	masa	湘南投資勉強会	東証ST	2820	やまみ	やまみ：豆腐市場で、中小零細企業の廃業を＋大豆価格の下落、シェアUPの可能性が高い(賞味期限が高いため)	3
721	178	ずーかー	湘南投資勉強会	東証ST	3021	パシフィックネット	パシフィックネット Windows10のサポート終了とGIGAスクールの端末更新需要	3
